eid,country
2-s2.0-0035413972,algeria
2-s2.0-0035413972,israel
2-s2.0-0035413972,netherlands
2-s2.0-0141889254,algeria
2-s2.0-0141889254,egypt
2-s2.0-0141889254,france
2-s2.0-0141889254,iran
2-s2.0-0141889254,israel
2-s2.0-0141889254,jordan
2-s2.0-0141889254,kuwait
2-s2.0-0141889254,lebanon
2-s2.0-0141889254,libya
2-s2.0-0141889254,saudi arabia
2-s2.0-0141889254,tunisia
2-s2.0-0141889254,turkey
2-s2.0-84897583673,algeria
2-s2.0-84897583673,egypt
2-s2.0-84897583673,france
2-s2.0-84897583673,israel
2-s2.0-84897583673,lebanon
2-s2.0-84897583673,morocco
2-s2.0-84897583673,tunisia
2-s2.0-84897583673,turkey
2-s2.0-34249295226,algeria
2-s2.0-34249295226,israel
2-s2.0-34249295226,portugal
2-s2.0-33847298447,algeria
2-s2.0-33847298447,france
2-s2.0-33847298447,israel
2-s2.0-35448977321,algeria
2-s2.0-35448977321,france
2-s2.0-35448977321,israel
2-s2.0-35448977321,morocco
2-s2.0-35448977321,tunisia
2-s2.0-41549153666,algeria
2-s2.0-41549153666,france
2-s2.0-41549153666,israel
2-s2.0-41549153666,morocco
2-s2.0-41549153666,tunisia
2-s2.0-39649113742,algeria
2-s2.0-39649113742,egypt
2-s2.0-39649113742,france
2-s2.0-39649113742,iran
2-s2.0-39649113742,israel
2-s2.0-39649113742,turkey
2-s2.0-39749114979,algeria
2-s2.0-39749114979,france
2-s2.0-39749114979,israel
2-s2.0-39749114979,tunisia
2-s2.0-60349109394,algeria
2-s2.0-60349109394,iran
2-s2.0-60349109394,israel
2-s2.0-60349109394,morocco
2-s2.0-60349109394,palestine
2-s2.0-60349109394,tunisia
2-s2.0-77958567353,algeria
2-s2.0-77958567353,israel
2-s2.0-77958567353,morocco
2-s2.0-77958567353,turkey
2-s2.0-77958567353,united kingdom
2-s2.0-78049528352,algeria
2-s2.0-78049528352,israel
2-s2.0-78049528352,kuwait
2-s2.0-78049528352,lebanon
2-s2.0-78049528352,spain
2-s2.0-78049528352,turkey
2-s2.0-77952476225,algeria
2-s2.0-77952476225,france
2-s2.0-77952476225,israel
2-s2.0-77952476225,turkey
2-s2.0-74049092764,algeria
2-s2.0-74049092764,israel
2-s2.0-84869124898,algeria
2-s2.0-84869124898,egypt
2-s2.0-84869124898,france
2-s2.0-84869124898,iran
2-s2.0-84869124898,israel
2-s2.0-84869124898,lebanon
2-s2.0-84869124898,morocco
2-s2.0-84869124898,tunisia
2-s2.0-84869124898,turkey
2-s2.0-84869124898,united arab emirates
2-s2.0-84867322190,algeria
2-s2.0-84867322190,bahrain
2-s2.0-84867322190,israel
2-s2.0-84867322190,jordan
2-s2.0-84867322190,kuwait
2-s2.0-84867322190,palestine
2-s2.0-84867322190,united arab emirates
2-s2.0-84860337424,algeria
2-s2.0-84860337424,bulgaria
2-s2.0-84860337424,iran
2-s2.0-84860337424,israel
2-s2.0-84860337424,kuwait
2-s2.0-84860337424,lebanon
2-s2.0-84860337424,oman
2-s2.0-84860337424,qatar
2-s2.0-84860337424,united arab emirates
2-s2.0-84858854855,algeria
2-s2.0-84858854855,israel
2-s2.0-84858854855,poland
2-s2.0-84858854855,turkey
2-s2.0-84868537223,algeria
2-s2.0-84868537223,france
2-s2.0-84868537223,israel
2-s2.0-84868537223,turkey
2-s2.0-84893908241,algeria
2-s2.0-84893908241,canada
2-s2.0-84893908241,france
2-s2.0-84893908241,israel
2-s2.0-84887621154,algeria
2-s2.0-84887621154,egypt
2-s2.0-84887621154,iraq
2-s2.0-84887621154,israel
2-s2.0-84887621154,italy
2-s2.0-84887621154,turkey
2-s2.0-84884592278,algeria
2-s2.0-84884592278,egypt
2-s2.0-84884592278,israel
2-s2.0-84884592278,italy
2-s2.0-84884592278,kuwait
2-s2.0-84884592278,lebanon
2-s2.0-84884592278,oman
2-s2.0-84884592278,saudi arabia
2-s2.0-84884592278,tunisia
2-s2.0-84884592278,turkey
2-s2.0-84884592278,united arab emirates
2-s2.0-84884241508,algeria
2-s2.0-84884241508,israel
2-s2.0-84884241508,netherlands
2-s2.0-84884241508,turkey
2-s2.0-84879953822,algeria
2-s2.0-84879953822,egypt
2-s2.0-84879953822,greece
2-s2.0-84879953822,israel
2-s2.0-84879953822,jordan
2-s2.0-84879953822,lebanon
2-s2.0-84879953822,libya
2-s2.0-84879953822,morocco
2-s2.0-84879953822,qatar
2-s2.0-84879953822,tunisia
2-s2.0-85052380646,algeria
2-s2.0-85052380646,egypt
2-s2.0-85052380646,israel
2-s2.0-85052380646,lebanon
2-s2.0-85052380646,tunisia
2-s2.0-85052380646,united kingdom
2-s2.0-85052366642,algeria
2-s2.0-85052366642,egypt
2-s2.0-85052366642,israel
2-s2.0-85052366642,lebanon
2-s2.0-85052366642,tunisia
2-s2.0-85052366642,united kingdom
2-s2.0-85037333955,algeria
2-s2.0-85037333955,egypt
2-s2.0-85037333955,israel
2-s2.0-85037333955,lebanon
2-s2.0-85037333955,tunisia
2-s2.0-85037333955,united kingdom
2-s2.0-85037360289,algeria
2-s2.0-85037360289,egypt
2-s2.0-85037360289,israel
2-s2.0-85037360289,lebanon
2-s2.0-85037360289,tunisia
2-s2.0-85037360289,united kingdom
2-s2.0-85044644599,algeria
2-s2.0-85044644599,egypt
2-s2.0-85044644599,israel
2-s2.0-85044644599,lebanon
2-s2.0-85044644599,tunisia
2-s2.0-85044644599,united kingdom
2-s2.0-84921985448,algeria
2-s2.0-84921985448,france
2-s2.0-84921985448,israel
2-s2.0-84907976854,algeria
2-s2.0-84907976854,israel
2-s2.0-84901350509,algeria
2-s2.0-84901350509,israel
2-s2.0-84901350509,sweden
2-s2.0-84901350509,turkey
2-s2.0-84898000176,algeria
2-s2.0-84898000176,france
2-s2.0-84898000176,israel
2-s2.0-84951297630,algeria
2-s2.0-84951297630,france
2-s2.0-84951297630,israel
2-s2.0-84951297630,morocco
2-s2.0-84951297630,tunisia
2-s2.0-84945441386,algeria
2-s2.0-84945441386,egypt
2-s2.0-84945441386,france
2-s2.0-84945441386,iran
2-s2.0-84945441386,israel
2-s2.0-84945441386,tunisia
2-s2.0-84945441386,turkey
2-s2.0-84945441386,united arab emirates
2-s2.0-84944340041,algeria
2-s2.0-84944340041,israel
2-s2.0-84940957241,algeria
2-s2.0-84940957241,israel
2-s2.0-84940957241,lebanon
2-s2.0-84940957241,united states
2-s2.0-84938199196,algeria
2-s2.0-84938199196,egypt
2-s2.0-84938199196,iran
2-s2.0-84938199196,israel
2-s2.0-84938199196,jordan
2-s2.0-84938199196,lebanon
2-s2.0-84938199196,palestine
2-s2.0-84938199196,tunisia
2-s2.0-84938199196,turkey
2-s2.0-84938199196,united states
2-s2.0-84942297849,algeria
2-s2.0-84942297849,egypt
2-s2.0-84942297849,israel
2-s2.0-84942297849,saudi arabia
2-s2.0-84942297849,united states
2-s2.0-84939558593,algeria
2-s2.0-84939558593,austria
2-s2.0-84939558593,iran
2-s2.0-84939558593,israel
2-s2.0-84939558593,kuwait
2-s2.0-84939558593,lebanon
2-s2.0-84939558593,qatar
2-s2.0-84939558593,united arab emirates
2-s2.0-84930144998,algeria
2-s2.0-84930144998,bahrain
2-s2.0-84930144998,egypt
2-s2.0-84930144998,iran
2-s2.0-84930144998,iraq
2-s2.0-84930144998,israel
2-s2.0-84930144998,jordan
2-s2.0-84930144998,kuwait
2-s2.0-84930144998,lebanon
2-s2.0-84930144998,libya
2-s2.0-84930144998,morocco
2-s2.0-84930144998,netherlands
2-s2.0-84930144998,qatar
2-s2.0-84930144998,saudi arabia
2-s2.0-84930144998,tunisia
2-s2.0-84930144998,turkey
2-s2.0-84930144998,united arab emirates
2-s2.0-84925450175,algeria
2-s2.0-84925450175,israel
2-s2.0-84925450175,jordan
2-s2.0-84925450175,libya
2-s2.0-84925450175,qatar
2-s2.0-84925450175,saudi arabia
2-s2.0-84925450175,tunisia
2-s2.0-84925450175,turkey
2-s2.0-84925450175,united kingdom
2-s2.0-84943146410,algeria
2-s2.0-84943146410,israel
2-s2.0-84943146410,italy
2-s2.0-84943146410,lebanon
2-s2.0-84943146410,morocco
2-s2.0-84943146410,tunisia
2-s2.0-84943146410,turkey
2-s2.0-85016218204,algeria
2-s2.0-85016218204,israel
2-s2.0-85016218204,portugal
2-s2.0-84942575825,algeria
2-s2.0-84942575825,france
2-s2.0-84942575825,israel
2-s2.0-84942575825,morocco
2-s2.0-84942575825,tunisia
2-s2.0-84942575825,turkey
2-s2.0-84952837640,algeria
2-s2.0-84952837640,canada
2-s2.0-84952837640,israel
2-s2.0-84943238312,algeria
2-s2.0-84943238312,israel
2-s2.0-85007508412,algeria
2-s2.0-85007508412,egypt
2-s2.0-85007508412,france
2-s2.0-85007508412,iran
2-s2.0-85007508412,israel
2-s2.0-85007508412,turkey
2-s2.0-85007508412,united arab emirates
2-s2.0-85008950106,algeria
2-s2.0-85008950106,austria
2-s2.0-85008950106,israel
2-s2.0-85008950106,turkey
2-s2.0-84998772012,algeria
2-s2.0-84998772012,israel
2-s2.0-84998772012,lebanon
2-s2.0-84998772012,netherlands
2-s2.0-84998879874,algeria
2-s2.0-84998879874,israel
2-s2.0-84998879874,lebanon
2-s2.0-84998879874,netherlands
2-s2.0-85060773959,algeria
2-s2.0-85060773959,bahrain
2-s2.0-85060773959,egypt
2-s2.0-85060773959,iran
2-s2.0-85060773959,iraq
2-s2.0-85060773959,israel
2-s2.0-85060773959,jordan
2-s2.0-85060773959,lebanon
2-s2.0-85060773959,palestine
2-s2.0-85060773959,qatar
2-s2.0-85060773959,saudi arabia
2-s2.0-85060773959,tunisia
2-s2.0-85060773959,turkey
2-s2.0-85060773959,united arab emirates
2-s2.0-85060773959,united states
2-s2.0-84994165705,algeria
2-s2.0-84994165705,bahrain
2-s2.0-84994165705,egypt
2-s2.0-84994165705,iran
2-s2.0-84994165705,iraq
2-s2.0-84994165705,israel
2-s2.0-84994165705,jordan
2-s2.0-84994165705,lebanon
2-s2.0-84994165705,morocco
2-s2.0-84994165705,palestine
2-s2.0-84994165705,qatar
2-s2.0-84994165705,saudi arabia
2-s2.0-84994165705,tunisia
2-s2.0-84994165705,turkey
2-s2.0-84994165705,united arab emirates
2-s2.0-84994165705,united states
2-s2.0-84994092049,algeria
2-s2.0-84994092049,bahrain
2-s2.0-84994092049,egypt
2-s2.0-84994092049,iran
2-s2.0-84994092049,israel
2-s2.0-84994092049,jordan
2-s2.0-84994092049,lebanon
2-s2.0-84994092049,morocco
2-s2.0-84994092049,palestine
2-s2.0-84994092049,qatar
2-s2.0-84994092049,saudi arabia
2-s2.0-84994092049,turkey
2-s2.0-84994092049,united arab emirates
2-s2.0-84994092049,united states
2-s2.0-84994140703,algeria
2-s2.0-84994140703,bahrain
2-s2.0-84994140703,egypt
2-s2.0-84994140703,iran
2-s2.0-84994140703,israel
2-s2.0-84994140703,jordan
2-s2.0-84994140703,lebanon
2-s2.0-84994140703,morocco
2-s2.0-84994140703,oman
2-s2.0-84994140703,palestine
2-s2.0-84994140703,qatar
2-s2.0-84994140703,saudi arabia
2-s2.0-84994140703,united arab emirates
2-s2.0-84994092884,algeria
2-s2.0-84994092884,bahrain
2-s2.0-84994092884,egypt
2-s2.0-84994092884,iran
2-s2.0-84994092884,iraq
2-s2.0-84994092884,israel
2-s2.0-84994092884,jordan
2-s2.0-84994092884,lebanon
2-s2.0-84994092884,oman
2-s2.0-84994092884,palestine
2-s2.0-84994092884,qatar
2-s2.0-84994092884,saudi arabia
2-s2.0-84994092884,turkey
2-s2.0-84994092884,united arab emirates
2-s2.0-84994092884,united states
2-s2.0-84994071373,algeria
2-s2.0-84994071373,bahrain
2-s2.0-84994071373,egypt
2-s2.0-84994071373,iran
2-s2.0-84994071373,iraq
2-s2.0-84994071373,israel
2-s2.0-84994071373,jordan
2-s2.0-84994071373,lebanon
2-s2.0-84994071373,oman
2-s2.0-84994071373,palestine
2-s2.0-84994071373,qatar
2-s2.0-84994071373,saudi arabia
2-s2.0-84994071373,tunisia
2-s2.0-84994071373,turkey
2-s2.0-84994071373,united arab emirates
2-s2.0-84994071373,united states
2-s2.0-84994158650,algeria
2-s2.0-84994158650,bahrain
2-s2.0-84994158650,egypt
2-s2.0-84994158650,iran
2-s2.0-84994158650,iraq
2-s2.0-84994158650,israel
2-s2.0-84994158650,jordan
2-s2.0-84994158650,lebanon
2-s2.0-84994158650,morocco
2-s2.0-84994158650,oman
2-s2.0-84994158650,palestine
2-s2.0-84994158650,qatar
2-s2.0-84994158650,saudi arabia
2-s2.0-84994158650,tunisia
2-s2.0-84994158650,turkey
2-s2.0-84994158650,united arab emirates
2-s2.0-84982214208,algeria
2-s2.0-84982214208,israel
2-s2.0-84982214208,lebanon
2-s2.0-84982214208,saudi arabia
2-s2.0-84982214208,united arab emirates
2-s2.0-84994614045,algeria
2-s2.0-84994614045,egypt
2-s2.0-84994614045,iran
2-s2.0-84994614045,iraq
2-s2.0-84994614045,israel
2-s2.0-84994614045,jordan
2-s2.0-84994614045,lebanon
2-s2.0-84994614045,netherlands
2-s2.0-84994614045,palestine
2-s2.0-84994614045,saudi arabia
2-s2.0-84994614045,tunisia
2-s2.0-84994614045,turkey
2-s2.0-84994614045,united arab emirates
2-s2.0-84994614045,yemen
2-s2.0-84982166255,algeria
2-s2.0-84982166255,france
2-s2.0-84982166255,israel
2-s2.0-85006427875,algeria
2-s2.0-85006427875,egypt
2-s2.0-85006427875,france
2-s2.0-85006427875,iran
2-s2.0-85006427875,israel
2-s2.0-85006427875,tunisia
2-s2.0-85006427875,turkey
2-s2.0-85006427875,united arab emirates
2-s2.0-85079121634,algeria
2-s2.0-85079121634,egypt
2-s2.0-85079121634,iran
2-s2.0-85079121634,israel
2-s2.0-85079121634,jordan
2-s2.0-85079121634,kuwait
2-s2.0-85079121634,lebanon
2-s2.0-85079121634,palestine
2-s2.0-85079121634,tunisia
2-s2.0-85079121634,turkey
2-s2.0-85079121634,united kingdom
2-s2.0-84962109845,algeria
2-s2.0-84962109845,israel
2-s2.0-84962109845,united states
2-s2.0-84962949589,algeria
2-s2.0-84962949589,egypt
2-s2.0-84962949589,iran
2-s2.0-84962949589,israel
2-s2.0-84962949589,jordan
2-s2.0-84962949589,kuwait
2-s2.0-84962949589,lebanon
2-s2.0-84962949589,morocco
2-s2.0-84962949589,palestine
2-s2.0-84962949589,tunisia
2-s2.0-84962949589,turkey
2-s2.0-84962949589,united kingdom
2-s2.0-84960408893,algeria
2-s2.0-84960408893,egypt
2-s2.0-84960408893,israel
2-s2.0-84960408893,jordan
2-s2.0-84960408893,lebanon
2-s2.0-84960408893,libya
2-s2.0-84960408893,morocco
2-s2.0-84960408893,palestine
2-s2.0-84960408893,tunisia
2-s2.0-84960408893,united kingdom
2-s2.0-84959350022,algeria
2-s2.0-84959350022,iran
2-s2.0-84959350022,israel
2-s2.0-84959350022,sweden
2-s2.0-85143997417,algeria
2-s2.0-85143997417,egypt
2-s2.0-85143997417,iran
2-s2.0-85143997417,israel
2-s2.0-85143997417,jordan
2-s2.0-85143997417,kuwait
2-s2.0-85143997417,lebanon
2-s2.0-85143997417,morocco
2-s2.0-85143997417,palestine
2-s2.0-85143997417,saudi arabia
2-s2.0-85143997417,tunisia
2-s2.0-85143997417,turkey
2-s2.0-85143997417,united kingdom
2-s2.0-85030864437,algeria
2-s2.0-85030864437,egypt
2-s2.0-85030864437,iran
2-s2.0-85030864437,israel
2-s2.0-85030864437,jordan
2-s2.0-85030864437,kuwait
2-s2.0-85030864437,lebanon
2-s2.0-85030864437,morocco
2-s2.0-85030864437,palestine
2-s2.0-85030864437,saudi arabia
2-s2.0-85030864437,tunisia
2-s2.0-85030864437,turkey
2-s2.0-85030864437,united arab emirates
2-s2.0-85030864437,united kingdom
2-s2.0-85030864437,yemen
2-s2.0-85037657173,algeria
2-s2.0-85037657173,france
2-s2.0-85037657173,israel
2-s2.0-85021266158,algeria
2-s2.0-85021266158,belgium
2-s2.0-85021266158,iran
2-s2.0-85021266158,israel
2-s2.0-85021266158,kuwait
2-s2.0-85021266158,turkey
2-s2.0-85021801332,algeria
2-s2.0-85021801332,israel
2-s2.0-85021801332,jordan
2-s2.0-85021801332,libya
2-s2.0-85021801332,qatar
2-s2.0-85021801332,saudi arabia
2-s2.0-85021801332,tunisia
2-s2.0-85021801332,turkey
2-s2.0-85021801332,united kingdom
2-s2.0-85021815343,algeria
2-s2.0-85021815343,israel
2-s2.0-85021815343,jordan
2-s2.0-85021815343,libya
2-s2.0-85021815343,qatar
2-s2.0-85021815343,saudi arabia
2-s2.0-85021815343,tunisia
2-s2.0-85021815343,turkey
2-s2.0-85021815343,united kingdom
2-s2.0-85029494753,algeria
2-s2.0-85029494753,bahrain
2-s2.0-85029494753,egypt
2-s2.0-85029494753,iran
2-s2.0-85029494753,iraq
2-s2.0-85029494753,israel
2-s2.0-85029494753,jordan
2-s2.0-85029494753,new zealand
2-s2.0-85029494753,saudi arabia
2-s2.0-85029494753,turkey
2-s2.0-85029494753,united arab emirates
2-s2.0-85029782729,algeria
2-s2.0-85029782729,egypt
2-s2.0-85029782729,iran
2-s2.0-85029782729,israel
2-s2.0-85029782729,oman
2-s2.0-85029782729,switzerland
2-s2.0-85029782729,tunisia
2-s2.0-85031764078,algeria
2-s2.0-85031764078,bahrain
2-s2.0-85031764078,egypt
2-s2.0-85031764078,iran
2-s2.0-85031764078,iraq
2-s2.0-85031764078,israel
2-s2.0-85031764078,jordan
2-s2.0-85031764078,lebanon
2-s2.0-85031764078,oman
2-s2.0-85031764078,palestine
2-s2.0-85031764078,qatar
2-s2.0-85031764078,saudi arabia
2-s2.0-85031764078,turkey
2-s2.0-85031764078,united arab emirates
2-s2.0-85031764078,united states
2-s2.0-85031764078,yemen
2-s2.0-85031722400,algeria
2-s2.0-85031722400,bahrain
2-s2.0-85031722400,egypt
2-s2.0-85031722400,iran
2-s2.0-85031722400,iraq
2-s2.0-85031722400,israel
2-s2.0-85031722400,jordan
2-s2.0-85031722400,lebanon
2-s2.0-85031722400,oman
2-s2.0-85031722400,palestine
2-s2.0-85031722400,qatar
2-s2.0-85031722400,saudi arabia
2-s2.0-85031722400,tunisia
2-s2.0-85031722400,turkey
2-s2.0-85031722400,united arab emirates
2-s2.0-85031722400,united states
2-s2.0-85029166308,algeria
2-s2.0-85029166308,bahrain
2-s2.0-85029166308,egypt
2-s2.0-85029166308,iran
2-s2.0-85029166308,iraq
2-s2.0-85029166308,israel
2-s2.0-85029166308,jordan
2-s2.0-85029166308,lebanon
2-s2.0-85029166308,oman
2-s2.0-85029166308,palestine
2-s2.0-85029166308,qatar
2-s2.0-85029166308,saudi arabia
2-s2.0-85029166308,tunisia
2-s2.0-85029166308,turkey
2-s2.0-85029166308,united arab emirates
2-s2.0-85029166308,united states
2-s2.0-85031719180,algeria
2-s2.0-85031719180,bahrain
2-s2.0-85031719180,egypt
2-s2.0-85031719180,iran
2-s2.0-85031719180,iraq
2-s2.0-85031719180,israel
2-s2.0-85031719180,jordan
2-s2.0-85031719180,kuwait
2-s2.0-85031719180,lebanon
2-s2.0-85031719180,morocco
2-s2.0-85031719180,oman
2-s2.0-85031719180,palestine
2-s2.0-85031719180,qatar
2-s2.0-85031719180,saudi arabia
2-s2.0-85031719180,tunisia
2-s2.0-85031719180,turkey
2-s2.0-85031719180,united arab emirates
2-s2.0-85031719180,united states
2-s2.0-85031738724,algeria
2-s2.0-85031738724,bahrain
2-s2.0-85031738724,egypt
2-s2.0-85031738724,iran
2-s2.0-85031738724,iraq
2-s2.0-85031738724,israel
2-s2.0-85031738724,jordan
2-s2.0-85031738724,lebanon
2-s2.0-85031738724,oman
2-s2.0-85031738724,palestine
2-s2.0-85031738724,qatar
2-s2.0-85031738724,saudi arabia
2-s2.0-85031738724,turkey
2-s2.0-85031738724,united arab emirates
2-s2.0-85031738724,united states
2-s2.0-85031738724,yemen
2-s2.0-85029512903,algeria
2-s2.0-85029512903,israel
2-s2.0-85029512903,italy
2-s2.0-85029512903,lebanon
2-s2.0-85019850160,algeria
2-s2.0-85019850160,bahrain
2-s2.0-85019850160,egypt
2-s2.0-85019850160,iran
2-s2.0-85019850160,iraq
2-s2.0-85019850160,israel
2-s2.0-85019850160,jordan
2-s2.0-85019850160,lebanon
2-s2.0-85019850160,palestine
2-s2.0-85019850160,saudi arabia
2-s2.0-85019850160,turkey
2-s2.0-85019850160,united arab emirates
2-s2.0-85019850160,united states
2-s2.0-85019850160,yemen
2-s2.0-85016190830,algeria
2-s2.0-85016190830,egypt
2-s2.0-85016190830,israel
2-s2.0-85017146418,algeria
2-s2.0-85017146418,bahrain
2-s2.0-85017146418,egypt
2-s2.0-85017146418,iran
2-s2.0-85017146418,iraq
2-s2.0-85017146418,israel
2-s2.0-85017146418,jordan
2-s2.0-85017146418,lebanon
2-s2.0-85017146418,palestine
2-s2.0-85017146418,saudi arabia
2-s2.0-85017146418,turkey
2-s2.0-85017146418,united states
2-s2.0-85018580814,algeria
2-s2.0-85018580814,israel
2-s2.0-85018580814,lebanon
2-s2.0-85018580814,united kingdom
2-s2.0-85018321414,algeria
2-s2.0-85018321414,egypt
2-s2.0-85018321414,iran
2-s2.0-85018321414,iraq
2-s2.0-85018321414,israel
2-s2.0-85018321414,jordan
2-s2.0-85018321414,palestine
2-s2.0-85018321414,saudi arabia
2-s2.0-85018321414,united states
2-s2.0-85018321414,yemen
2-s2.0-85014577257,algeria
2-s2.0-85014577257,israel
2-s2.0-85014577257,lebanon
2-s2.0-85014577257,netherlands
2-s2.0-85014577257,saudi arabia
2-s2.0-85014577257,turkey
2-s2.0-85011035280,algeria
2-s2.0-85011035280,egypt
2-s2.0-85011035280,iran
2-s2.0-85011035280,israel
2-s2.0-85011035280,jordan
2-s2.0-85011035280,kuwait
2-s2.0-85011035280,libya
2-s2.0-85011035280,new zealand
2-s2.0-85011035280,oman
2-s2.0-85011035280,palestine
2-s2.0-85011035280,saudi arabia
2-s2.0-85011035280,tunisia
2-s2.0-85011035280,turkey
2-s2.0-85011035280,united arab emirates
2-s2.0-85013356512,algeria
2-s2.0-85013356512,egypt
2-s2.0-85013356512,france
2-s2.0-85013356512,iran
2-s2.0-85013356512,israel
2-s2.0-85013356512,tunisia
2-s2.0-85013356512,turkey
2-s2.0-85013356512,united arab emirates
2-s2.0-85009957310,algeria
2-s2.0-85009957310,france
2-s2.0-85009957310,israel
2-s2.0-85009957310,turkey
2-s2.0-85006784962,algeria
2-s2.0-85006784962,egypt
2-s2.0-85006784962,iran
2-s2.0-85006784962,israel
2-s2.0-85006784962,jordan
