eid,subject
2-s2.0-0035413972,medicine
2-s2.0-0141889254,"biochemistry, genetics & molecular biology"
2-s2.0-0141889254,immunology and microbiology
2-s2.0-0141889254,medicine
2-s2.0-84897583673,earth and planetary sciences
2-s2.0-34249295226,agricultural & biological sciences
2-s2.0-33847298447,"biochemistry, genetics & molecular biology"
2-s2.0-35448977321,"biochemistry, genetics & molecular biology"
2-s2.0-35448977321,medicine
2-s2.0-35448977321,neuroscience
2-s2.0-41549153666,"biochemistry, genetics & molecular biology"
2-s2.0-41549153666,medicine
2-s2.0-39649113742,agricultural & biological sciences
2-s2.0-39649113742,"biochemistry, genetics & molecular biology"
2-s2.0-39649113742,immunology and microbiology
2-s2.0-39649113742,medicine
2-s2.0-39749114979,medicine
2-s2.0-60349109394,agricultural & biological sciences
2-s2.0-60349109394,immunology and microbiology
2-s2.0-60349109394,veterinary
2-s2.0-77958567353,multidisciplinary
2-s2.0-78049528352,unknown
2-s2.0-77952476225,"biochemistry, genetics & molecular biology"
2-s2.0-77952476225,medicine
2-s2.0-74049092764,neuroscience
2-s2.0-84869124898,immunology and microbiology
2-s2.0-84869124898,medicine
2-s2.0-84867322190,medicine
2-s2.0-84860337424,medicine
2-s2.0-84858854855,"biochemistry, genetics & molecular biology"
2-s2.0-84858854855,immunology and microbiology
2-s2.0-84858854855,medicine
2-s2.0-84868537223,physics and astronomy
2-s2.0-84893908241,agricultural & biological sciences
2-s2.0-84887621154,agricultural & biological sciences
2-s2.0-84887621154,environmental science
2-s2.0-84884592278,"biochemistry, genetics & molecular biology"
2-s2.0-84884592278,medicine
2-s2.0-84884241508,agricultural & biological sciences
2-s2.0-84879953822,immunology and microbiology
2-s2.0-84879953822,medicine
2-s2.0-85052380646,earth and planetary sciences
2-s2.0-85052380646,environmental science
2-s2.0-85052366642,earth and planetary sciences
2-s2.0-85052366642,environmental science
2-s2.0-85037333955,earth and planetary sciences
2-s2.0-85037333955,environmental science
2-s2.0-85037360289,earth and planetary sciences
2-s2.0-85037360289,environmental science
2-s2.0-85044644599,earth and planetary sciences
2-s2.0-85044644599,environmental science
2-s2.0-84921985448,agricultural & biological sciences
2-s2.0-84921985448,environmental science
2-s2.0-84907976854,agricultural & biological sciences
2-s2.0-84907976854,veterinary
2-s2.0-84901350509,arts and humanities
2-s2.0-84901350509,social sciences
2-s2.0-84898000176,agricultural & biological sciences
2-s2.0-84898000176,environmental science
2-s2.0-84951297630,agricultural & biological sciences
2-s2.0-84951297630,"biochemistry, genetics & molecular biology"
2-s2.0-84945441386,immunology and microbiology
2-s2.0-84945441386,medicine
2-s2.0-84944340041,"biochemistry, genetics & molecular biology"
2-s2.0-84944340041,chemistry
2-s2.0-84944340041,multidisciplinary
2-s2.0-84944340041,physics and astronomy
2-s2.0-84940957241,"biochemistry, genetics & molecular biology"
2-s2.0-84940957241,medicine
2-s2.0-84938199196,unknown
2-s2.0-84942297849,medicine
2-s2.0-84939558593,health professions
2-s2.0-84939558593,medicine
2-s2.0-84939558593,physics and astronomy
2-s2.0-84930144998,medicine
2-s2.0-84925450175,unknown
