country,year,total_output
israel,1990,7524
israel,1991,7830
israel,1992,8117
israel,1993,8981
israel,1994,9431
israel,1995,9723
israel,1996,11018
israel,1997,11424
israel,1998,11259
israel,1999,11388
israel,2000,12347
israel,2001,12575
israel,2002,13180
israel,2003,14432
israel,2004,15148
israel,2005,15728
israel,2006,16757
israel,2007,17153
israel,2008,17587
israel,2009,18014
israel,2010,18352
israel,2011,18882
israel,2012,20310
israel,2013,20585
israel,2014,21042
israel,2015,21682
israel,2016,22614
israel,2017,23254
israel,2018,24467
israel,2019,24663
israel,2020,26077
israel,2021,28186
israel,2022,27744
israel,2023,27668
israel,2024,26996
israel,2025,27358
algeria,1990,160
algeria,1991,162
algeria,1992,183
algeria,1993,184
algeria,1994,223
algeria,1995,254
algeria,1996,374
algeria,1997,404
algeria,1998,458
algeria,1999,497
algeria,2000,550
algeria,2001,649
algeria,2002,699
algeria,2003,918
algeria,2004,1211
algeria,2005,1331
algeria,2006,1884
algeria,2007,2063
algeria,2008,2542
algeria,2009,3186
algeria,2010,3235
algeria,2011,3667
algeria,2012,4408
algeria,2013,5060
algeria,2014,5404
algeria,2015,6145
algeria,2016,6875
algeria,2017,7582
algeria,2018,8575
algeria,2019,8531
algeria,2020,8675
algeria,2021,10088
algeria,2022,11240
algeria,2023,11263
algeria,2024,13413
algeria,2025,14265
bahrain,1990,100
bahrain,1991,88
bahrain,1992,79
bahrain,1993,75
bahrain,1994,102
bahrain,1995,106
bahrain,1996,128
bahrain,1997,88
bahrain,1998,121
bahrain,1999,123
bahrain,2000,111
bahrain,2001,106
bahrain,2002,92
bahrain,2003,177
bahrain,2004,206
bahrain,2005,246
bahrain,2006,288
bahrain,2007,276
bahrain,2008,302
bahrain,2009,317
bahrain,2010,355
bahrain,2011,370
bahrain,2012,378
bahrain,2013,495
bahrain,2014,465
bahrain,2015,449
bahrain,2016,570
bahrain,2017,612
bahrain,2018,753
bahrain,2019,1081
bahrain,2020,1322
bahrain,2021,1587
bahrain,2022,1854
bahrain,2023,2180
bahrain,2024,2805
bahrain,2025,2703
egypt,1990,1883
egypt,1991,2012
egypt,1992,1930
egypt,1993,1994
egypt,1994,2215
egypt,1995,2361
egypt,1996,2948
egypt,1997,2967
egypt,1998,3014
egypt,1999,3011
egypt,2000,3313
egypt,2001,3574
egypt,2002,3776
egypt,2003,4567
egypt,2004,4633
egypt,2005,4889
egypt,2006,5388
egypt,2007,6039
egypt,2008,6869
egypt,2009,8635
egypt,2010,9662
egypt,2011,11370
egypt,2012,13563
egypt,2013,15110
egypt,2014,15986
egypt,2015,17516
egypt,2016,20018
egypt,2017,20137
egypt,2018,22779
egypt,2019,26606
egypt,2020,33169
egypt,2021,39817
egypt,2022,44809
egypt,2023,43779
egypt,2024,44604
egypt,2025,46847
iran,1990,217
iran,1991,286
iran,1992,299
iran,1993,389
iran,1994,471
iran,1995,543
iran,1996,855
iran,1997,1085
iran,1998,1237
iran,1999,1450
iran,2000,1878
iran,2001,2234
iran,2002,3213
iran,2003,4626
iran,2004,6076
iran,2005,8501
iran,2006,11926
iran,2007,15399
iran,2008,20233
iran,2009,24735
iran,2010,30143
iran,2011,40121
iran,2012,41717
iran,2013,42529
iran,2014,45697
iran,2015,46649
iran,2016,53656
iran,2017,57646
iran,2018,60462
iran,2019,68391
iran,2020,75554
iran,2021,80217
iran,2022,80536
iran,2023,76211
iran,2024,76996
iran,2025,78230
iraq,1990,327
iraq,1991,136
iraq,1992,131
iraq,1993,118
iraq,1994,115
iraq,1995,99
iraq,1996,95
iraq,1997,105
iraq,1998,85
iraq,1999,78
iraq,2000,103
iraq,2001,108
iraq,2002,126
iraq,2003,155
iraq,2004,133
iraq,2005,206
iraq,2006,356
iraq,2007,343
iraq,2008,468
iraq,2009,641
iraq,2010,858
iraq,2011,1144
iraq,2012,1472
iraq,2013,1787
iraq,2014,2091
iraq,2015,2247
iraq,2016,3257
iraq,2017,4552
iraq,2018,9406
iraq,2019,14593
iraq,2020,19576
iraq,2021,18427
iraq,2022,21212
iraq,2023,27525
iraq,2024,30084
iraq,2025,35310
jordan,1990,276
jordan,1991,286
jordan,1992,259
jordan,1993,237
jordan,1994,309
jordan,1995,339
jordan,1996,451
jordan,1997,530
jordan,1998,601
jordan,1999,615
jordan,2000,685
jordan,2001,689
jordan,2002,760
jordan,2003,870
