eid,title,doi,year,journal,all_countries
2-s2.0-0032444401,Therapeutic strategies against epilepsy in Mediterranean countries: A report from an international collaborative survey,10.1016/S1059-1311(98)80013-7,1998,Seizure,Algeria; France; Israel; Tunisia; Turkey
2-s2.0-0037840873,Reactions of Hordeum spontaneum to infection with two cultures of Puccinia hordei from Israel and United States,10.1007/BF00027267,1990,Euphytica,Egypt; Israel; United States
2-s2.0-0025675746,"The characterization of Leishmania major from Phlebotomus papatasi (Scopoli) caught in northern Sinai, Egypt",10.1016/0035-9203(90)90079-T,1990,Transactions of the Royal Society of Tropical Medicine and Hygiene,Egypt; Israel
2-s2.0-0026501837,Cutaneous Leishmaniasis Acquired During Military Service in the Middle East,10.1001/archderm.1992.01680110093013,1992,Archives of Dermatology,Egypt; Israel; United States
2-s2.0-0027043976,General circulation of the Eastern Mediterranean,10.1016/0012-8252(92)90002-B,1992,Earth Science Reviews,Egypt; Israel; Turkey; United States
2-s2.0-11944275062,"WHO scientific group on recent advances in medically assisted conception. Geneva, 2-6 April 1990",,1992,World Health Organization Technical Report Series,Egypt; Israel; United States
2-s2.0-0027751057,Defining and assessing risky behaviours,10.1046/j.1365-2648.1993.18121911.x,1993,Journal of Advanced Nursing,Egypt; Israel; Jordan
2-s2.0-0028873606,Molecular epidemiology of foot-and-mouth disease (FMD) in Israel in 1994 and in other Middle-Eastern countries in the years 1992-1994,10.1007/BF01384342,1995,Archives of Virology,Egypt; Israel
2-s2.0-0029411868,The electrical conductivity properties of amorphous thin film of evaporated Ge40 S60 during and after light exposure,10.1016/0042-207X(95)00014-3,1995,Vacuum,Egypt; Israel
2-s2.0-0030370295,Effect of Gaussian potential on the differential cross sections of alpha transfer reactions,10.1088/0253-6102/26/4/433,1996,Communications in Theoretical Physics,Egypt; Israel
2-s2.0-33748614904,Irreversibly adsorbed silver on Pt(111) and transformation of the electrosorption behaviour induced by thermal annealing,10.1039/ft9969203777,1996,Journal of the Chemical Society Faraday Transactions,Egypt; France; Israel
2-s2.0-0009272923,Multi-interaction of multi-nucleon transfer reactions in the whole-angle region,10.1139/p96-024,1996,Canadian Journal of Physics,Egypt; Israel
