country,year,total_output
Yemen,2000,46
Yemen,2001,69
Yemen,2002,43
Yemen,2003,51
Yemen,2004,74
Yemen,2005,80
Yemen,2006,105
Yemen,2007,100
Yemen,2008,139
Yemen,2009,190
Yemen,2010,224
Yemen,2011,274
Yemen,2012,315
Yemen,2013,372
Yemen,2014,399
Yemen,2015,341
Yemen,2016,433
Yemen,2017,470
Yemen,2018,567
Yemen,2019,744
Yemen,2020,1160
Yemen,2021,1687
Yemen,2022,1919
Yemen,2023,1801
Yemen,2024,1868
Yemen,2025,2139
Algeria,2000,550
Algeria,2001,649
Algeria,2002,699
Algeria,2003,918
Algeria,2004,1211
Algeria,2005,1331
Algeria,2006,1884
Algeria,2007,2063
Algeria,2008,2542
Algeria,2009,3186
Algeria,2010,3235
Algeria,2011,3667
Algeria,2012,4408
Algeria,2013,5060
Algeria,2014,5404
Algeria,2015,6145
Algeria,2016,6870
Algeria,2017,7581
Algeria,2018,8573
Algeria,2019,8531
Algeria,2020,8673
Algeria,2021,10085
Algeria,2022,11235
Algeria,2023,11252
Algeria,2024,13411
Algeria,2025,13910
Bahrain,2000,111
Bahrain,2001,106
Bahrain,2002,92
Bahrain,2003,177
Bahrain,2004,206
Bahrain,2005,246
Bahrain,2006,288
Bahrain,2007,276
Bahrain,2008,302
Bahrain,2009,317
Bahrain,2010,355
Bahrain,2011,370
Bahrain,2012,378
Bahrain,2013,495
Bahrain,2014,465
Bahrain,2015,448
Bahrain,2016,570
Bahrain,2017,612
Bahrain,2018,755
Bahrain,2019,1080
Bahrain,2020,1321
Bahrain,2021,1587
Bahrain,2022,1854
Bahrain,2023,2177
Bahrain,2024,2799
Bahrain,2025,2618
Egypt,2000,3313
Egypt,2001,3575
Egypt,2002,3775
Egypt,2003,4567
Egypt,2004,4633
Egypt,2005,4889
Egypt,2006,5388
Egypt,2007,6041
Egypt,2008,6864
Egypt,2009,8634
Egypt,2010,9655
Egypt,2011,11371
Egypt,2012,13561
Egypt,2013,15097
Egypt,2014,15961
Egypt,2015,17475
Egypt,2016,19971
Egypt,2017,20104
Egypt,2018,22740
Egypt,2019,26508
Egypt,2020,33130
Egypt,2021,39778
Egypt,2022,44796
